epoch,steps,loss,loss_full,loss_consist,loss_drop,loss_sparse,loss_tv,loss_volume,w_full,w_consist,w_drop,w_sparse,w_tv,mask_mean,mask_tv
1,4672,1.5562552463467398,0.18772911325843417,0.00603034147864753,0.00019958256932225857,0.621341708065202,0.6058718449474402,0.2717972712604048,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.621341708065202,0.6058718449474402
2,4672,1.5473897308621505,0.17413800254253645,0.006530827797053474,1.0148777606720041e-05,0.6221683021787912,0.6116233011324929,0.27265983468482957,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6221683021787912,0.6116233011324929
3,4672,1.5445635717311135,0.16606380043021876,0.007464663145757896,5.866639334620742e-06,0.6229929369427774,0.617329502223085,0.27352170908364326,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6229929369427774,0.617329502223085
4,4672,1.540116358854591,0.1554345365004512,0.009449978720848067,6.410749822500966e-06,0.6237934048683064,0.6230107230861506,0.27435963348268644,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6237934048683064,0.6230107230861506
5,4672,1.5322386241734844,0.14027635868692975,0.012618072750764478,8.012655522266769e-06,0.6245764884842585,0.6286435390325034,0.2751805962012341,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6245764884842585,0.6286435390325034
6,4672,1.5207012676927325,0.12079048409343582,0.016467726740875276,1.1607064208550432e-05,0.6253556573814522,0.6342457674622332,0.27599867040367976,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6253556573814522,0.6342457674622332
7,4672,1.5076149582913885,0.10060662689598035,0.019607360777365402,1.448164788262272e-05,0.6261069776413783,0.6398004319978087,0.2767886590493256,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6261069776413783,0.6398004319978087
8,4672,1.495387744030928,0.08290830358650778,0.021222741828776086,8.747057041882602e-06,0.6268386657490101,0.645328188225729,0.27755909388859384,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6268386657490101,0.645328188225729
9,4672,1.4855218792257652,0.06828032380523326,0.022142708650790155,9.114340821114426e-06,0.627566201637869,0.6508126060720788,0.2783262102660557,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.627566201637869,0.6508126060720788
10,4672,1.477492809882515,0.056487371171374125,0.022181230776804523,9.043743001749222e-06,0.6282706936719279,0.6562226349105166,0.2790700442234233,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6282706936719279,0.6562226349105166
11,4672,1.4710286100688454,0.04687217416039234,0.021693444078427753,8.604079134597232e-06,0.6289579326618616,0.661613203814789,0.2797966188087753,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6289579326618616,0.661613203814789
12,4672,1.466505000087088,0.03954384482405085,0.020931965083921207,3.710734891646011e-06,0.6296310195673819,0.6669486162367545,0.2805091410569132,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6296310195673819,0.6669486162367545
13,4672,1.4637976031597346,0.0340800240322607,0.020177110770979598,6.598833495021833e-06,0.6302921745977174,0.6722304267323997,0.2812099185555357,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6302921745977174,0.6722304267323997
14,4672,1.4616928238625804,0.02963350298887235,0.019151243274953305,4.613134291587327e-06,0.6309259377343401,0.6774559751510212,0.2818824828168607,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6309259377343401,0.6774559751510212
15,4672,1.4609976705316812,0.026568288280218875,0.018205783359605935,1.7126470526183193e-05,0.6315478028550948,0.6826288380009466,0.28254319664269484,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6315478028550948,0.6826288380009466
16,4672,1.4609037846939203,0.024195477680497214,0.01723273303984682,3.5113228350009234e-06,0.6321594636785249,0.6877656234428287,0.28319382744726457,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6321594636785249,0.6877656234428287
17,4672,1.4616277366366288,0.022485447080688486,0.01657367409102771,5.941881807938107e-06,0.63273911278899,0.6928335873103918,0.28381110648050495,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.63273911278899,0.6928335873103918
18,4672,1.4623650504556829,0.020768820991578063,0.015886514838238736,4.423379882944711e-06,0.6333275288215852,0.6978280014320187,0.28443839046976543,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6333275288215852,0.6978280014320187
19,4672,1.4626761927486283,0.019117523839350437,0.014887096352364619,1.385117057714225e-06,0.6338818857114609,0.7027871828169039,0.285030015329639,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6338818857114609,0.7027871828169039
20,4672,1.4646261071097362,0.018602830308219843,0.014507152408715565,3.959658008407381e-06,0.6344132289826258,0.7076926862259638,0.2855976463729286,1.0,0.5,0.0010000000474974513,9.999999747378752e-05,9.999999747378752e-06,0.6344132289826258,0.7076926862259638
