epoch,steps,loss,loss_full,loss_consist,loss_drop,loss_sparse,loss_tv
1,14015,0.18417387119734602,0.18417387119734602,0.0,0.0,0.0,0.0
2,14015,0.1703313433901778,0.1703313433901778,0.0,0.0,0.0,0.0
3,14015,0.16023813553534574,0.16023813553534574,0.0,0.0,0.0,0.0
4,14015,0.14539783484635718,0.14539783484635718,0.0,0.0,0.0,0.0
5,14015,0.1243753969506535,0.1243753969506535,0.0,0.0,0.0,0.0
6,14015,0.10305545196005934,0.10305545196005934,0.0,0.0,0.0,0.0
7,14015,0.08519974559342175,0.08519974559342175,0.0,0.0,0.0,0.0
8,14015,0.0706849163452388,0.0706849163452388,0.0,0.0,0.0,0.0
1,9344,0.18413505673827923,0.18413505673827923,0.0,0.0,0.0,0.0
2,9344,0.17090199263535172,0.17090199263535172,0.0,0.0,0.0,0.0
3,9344,0.16089209410432115,0.16089209410432115,0.0,0.0,0.0,0.0
4,9344,0.14667980887884058,0.14667980887884058,0.0,0.0,0.0,0.0
5,9344,0.12744775382761622,0.12744775382761622,0.0,0.0,0.0,0.0
6,9344,0.10661714255936565,0.10661714255936565,0.0,0.0,0.0,0.0
7,9344,0.08880309116673195,0.08880309116673195,0.0,0.0,0.0,0.0
8,9344,0.07493100146328363,0.07493100146328363,0.0,0.0,0.0,0.0
9,9344,0.06310630498377925,0.06310630498377925,0.0,0.0,0.0,0.0
10,9344,0.05381888641533482,0.05381888641533482,0.0,0.0,0.0,0.0
11,9344,0.04726154729103481,0.04726154729103481,0.0,0.0,0.0,0.0
12,9344,0.04174795740033778,0.04174795740033778,0.0,0.0,0.0,0.0
13,9344,0.03785356396392298,0.03785356396392298,0.0,0.0,0.0,0.0
14,9344,0.03464243390606324,0.03464243390606324,0.0,0.0,0.0,0.0
15,9344,0.032275987542518175,0.032275987542518175,0.0,0.0,0.0,0.0
16,9344,0.03045679998055289,0.03045679998055289,0.0,0.0,0.0,0.0
